date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:42:06	21747/21747	---M-Z	200	added ('OK')	text/html	etag:%2254f3-5381f9a64eb40-gzip%22	http://template.cospo.itembridge.com/sport-shop.html	C:/xampp/htdocs/cospo/template.cospo.itembridge.com/sport-shop.html	(from )
09:42:11	14/14	---M--	200	added ('OK')	text/plain	etag:%22e-52548e442a840%22	http://template.cospo.itembridge.com/robots.txt		(from )
09:42:11	1150/1150	---M--	200	added ('OK')	image/x-icon	etag:%2247e-531765b58c700%22	http://template.cospo.itembridge.com/img/favicon.ico	C:/xampp/htdocs/cospo/template.cospo.itembridge.com/img/favicon.ico	(from http://template.cospo.itembridge.com/sport-shop.html)
09:42:12	22190/22190	---M--	200	added ('OK')	text/css	etag:%2256ae-52fcb17fee2c0%22	http://template.cospo.itembridge.com/css/bootstrap.css	C:/xampp/htdocs/cospo/template.cospo.itembridge.com/css/bootstrap.css	(from http://template.cospo.itembridge.com/sport-shop.html)
09:42:15	325628/325628	---M--	200	added ('OK')	text/css	etag:%224f7fc-5381f9a64eb40%22	http://template.cospo.itembridge.com/css/main.css	C:/xampp/htdocs/cospo/template.cospo.itembridge.com/css/main.css	(from http://template.cospo.itembridge.com/sport-shop.html)
09:42:16	6819/6819	---M--	200	added ('OK')	image/svg+xml	etag:%221aa3-52f2f60874740%22	http://template.cospo.itembridge.com/img/svg/logo.svg	C:/xampp/htdocs/cospo/template.cospo.itembridge.com/img/svg/logo.svg	(from http://template.cospo.itembridge.com/sport-shop.html)
09:42:17	17044/17044	---M-Z	200	added ('OK')	text/html	etag:%224294-5315ea23ac280-gzip%22	http://template.cospo.itembridge.com/	C:/xampp/htdocs/cospo/template.cospo.itembridge.com/index.html	(from http://template.cospo.itembridge.com/sport-shop.html)
09:42:17	3443/3443	---M--	200	added ('OK')	image/png	etag:%22d73-52c81f10b3480%22	http://template.cospo.itembridge.com/img/sport/logo/1.png	C:/xampp/htdocs/cospo/template.cospo.itembridge.com/img/sport/logo/1.png	(from http://template.cospo.itembridge.com/sport-shop.html)
09:42:18	3929/3929	---M--	200	added ('OK')	image/png	etag:%22f59-52c81f10b3480%22	http://template.cospo.itembridge.com/img/sport/logo/2.png	C:/xampp/htdocs/cospo/template.cospo.itembridge.com/img/sport/logo/2.png	(from http://template.cospo.itembridge.com/sport-shop.html)
09:42:18	3639/3639	---M--	200	added ('OK')	image/png	etag:%22e37-52c81f10b3480%22	http://template.cospo.itembridge.com/img/sport/logo/3.png	C:/xampp/htdocs/cospo/template.cospo.itembridge.com/img/sport/logo/3.png	(from http://template.cospo.itembridge.com/sport-shop.html)
09:42:19	3597/3597	---M--	200	added ('OK')	image/png	etag:%22e0d-52c81f10b3480%22	http://template.cospo.itembridge.com/img/sport/logo/4.png	C:/xampp/htdocs/cospo/template.cospo.itembridge.com/img/sport/logo/4.png	(from http://template.cospo.itembridge.com/sport-shop.html)
09:42:19	4124/4124	---M--	200	added ('OK')	image/png	etag:%22101c-52c81f10b3480%22	http://template.cospo.itembridge.com/img/sport/logo/5.png	C:/xampp/htdocs/cospo/template.cospo.itembridge.com/img/sport/logo/5.png	(from http://template.cospo.itembridge.com/sport-shop.html)
09:42:20	3646/3646	---M--	200	added ('OK')	image/png	etag:%22e3e-52c81f10b3480%22	http://template.cospo.itembridge.com/img/sport/logo/6.png	C:/xampp/htdocs/cospo/template.cospo.itembridge.com/img/sport/logo/6.png	(from http://template.cospo.itembridge.com/sport-shop.html)
09:42:54	231310/231310	---M--	200	added ('OK')	image/jpeg	etag:%223878e-52fce928c7400%22	http://template.cospo.itembridge.com/img/sport/bg/bg-2.jpg	C:/xampp/htdocs/cospo/template.cospo.itembridge.com/img/sport/bg/bg-2.jpg	(from http://template.cospo.itembridge.com/sport-shop.html)
09:43:11	314761/314761	---M--	200	added ('OK')	image/jpeg	etag:%224cd89-52fce928c7400%22	http://template.cospo.itembridge.com/img/sport/bg/bg-3.jpg	C:/xampp/htdocs/cospo/template.cospo.itembridge.com/img/sport/bg/bg-3.jpg	(from http://template.cospo.itembridge.com/sport-shop.html)
09:43:18	352038/352038	---M--	200	added ('OK')	image/jpeg	etag:%2255f26-52fce928c7400%22	http://template.cospo.itembridge.com/img/sport/bg/bg-4.jpg	C:/xampp/htdocs/cospo/template.cospo.itembridge.com/img/sport/bg/bg-4.jpg	(from http://template.cospo.itembridge.com/sport-shop.html)
09:43:22	171801/171801	---M--	200	added ('OK')	image/jpeg	etag:%2229f19-5307ff68d79c0%22	http://template.cospo.itembridge.com/img/sport/label/sport-element-1.jpg	C:/xampp/htdocs/cospo/template.cospo.itembridge.com/img/sport/label/sport-element-1.jpg	(from http://template.cospo.itembridge.com/sport-shop.html)
09:43:23	72234/72234	---M--	200	added ('OK')	image/jpeg	etag:%2211a2a-5307ff68d79c0%22	http://template.cospo.itembridge.com/img/sport/label/services-element-2.jpg	C:/xampp/htdocs/cospo/template.cospo.itembridge.com/img/sport/label/services-element-2.jpg	(from http://template.cospo.itembridge.com/sport-shop.html)
09:43:30	46694/46694	---M--	200	added ('OK')	image/jpeg	etag:%22b666-5307ff68d79c0%22	http://template.cospo.itembridge.com/img/sport/label/services-element-4.jpg	C:/xampp/htdocs/cospo/template.cospo.itembridge.com/img/sport/label/services-element-4.jpg	(from http://template.cospo.itembridge.com/sport-shop.html)
09:43:33	493008/493008	---M--	200	added ('OK')	image/jpeg	etag:%22785d0-52fce928c7400%22	http://template.cospo.itembridge.com/img/sport/bg/bg-1.jpg	C:/xampp/htdocs/cospo/template.cospo.itembridge.com/img/sport/bg/bg-1.jpg	(from http://template.cospo.itembridge.com/sport-shop.html)
09:43:35	101997/101997	---M--	200	added ('OK')	image/jpeg	etag:%2218e6d-5307ff68d79c0%22	http://template.cospo.itembridge.com/img/sport/label/services-element-3.jpg	C:/xampp/htdocs/cospo/template.cospo.itembridge.com/img/sport/label/services-element-3.jpg	(from http://template.cospo.itembridge.com/sport-shop.html)
09:43:41	106247/106247	---M--	200	added ('OK')	image/jpeg	etag:%2219f07-5307ff68d79c0%22	http://template.cospo.itembridge.com/img/sport/label/services-element-5.jpg	C:/xampp/htdocs/cospo/template.cospo.itembridge.com/img/sport/label/services-element-5.jpg	(from http://template.cospo.itembridge.com/sport-shop.html)
09:43:52	114084/114084	---M--	200	added ('OK')	image/jpeg	etag:%221bda4-5307ff68d79c0%22	http://template.cospo.itembridge.com/img/sport/label/services-element-7.jpg	C:/xampp/htdocs/cospo/template.cospo.itembridge.com/img/sport/label/services-element-7.jpg	(from http://template.cospo.itembridge.com/sport-shop.html)
09:43:55	125013/125013	---M--	200	added ('OK')	image/jpeg	etag:%221e855-5307ff68d79c0%22	http://template.cospo.itembridge.com/img/sport/label/services-element-8.jpg	C:/xampp/htdocs/cospo/template.cospo.itembridge.com/img/sport/label/services-element-8.jpg	(from http://template.cospo.itembridge.com/sport-shop.html)
09:43:57	164587/164587	---M--	200	added ('OK')	image/jpeg	etag:%22282eb-5307ff68d79c0%22	http://template.cospo.itembridge.com/img/sport/label/services-element-6.jpg	C:/xampp/htdocs/cospo/template.cospo.itembridge.com/img/sport/label/services-element-6.jpg	(from http://template.cospo.itembridge.com/sport-shop.html)
09:44:09	175065/175065	---M--	200	added ('OK')	image/jpeg	etag:%222abd9-5307ff68d79c0%22	http://template.cospo.itembridge.com/img/sport/label/services-element-9.jpg	C:/xampp/htdocs/cospo/template.cospo.itembridge.com/img/sport/label/services-element-9.jpg	(from http://template.cospo.itembridge.com/sport-shop.html)
09:44:10	3126/3126	---M--	200	added ('OK')	application/javascript	etag:%22c36-5381f9a64eb40%22	http://template.cospo.itembridge.com/js/notify.js	C:/xampp/htdocs/cospo/template.cospo.itembridge.com/js/notify.js	(from http://template.cospo.itembridge.com/sport-shop.html)
09:44:11	85656/85656	---M--	200	added ('OK')	application/javascript	etag:%2214e98-52fa7d89153c0%22	http://template.cospo.itembridge.com/js/jquery-2.2.2.min.js	C:/xampp/htdocs/cospo/template.cospo.itembridge.com/js/jquery-2.2.2.min.js	(from http://template.cospo.itembridge.com/sport-shop.html)
09:44:12	127134/127134	---M--	200	added ('OK')	image/jpeg	etag:%221f09e-5307ff68d79c0%22	http://template.cospo.itembridge.com/img/sport/label/services-element-10.jpg	C:/xampp/htdocs/cospo/template.cospo.itembridge.com/img/sport/label/services-element-10.jpg	(from http://template.cospo.itembridge.com/sport-shop.html)
09:44:18	657/657	---M--	200	added ('OK')	text/css	etag:%22291-52cea4f3e36c0%22	http://template.cospo.itembridge.com/css/ios.css	C:/xampp/htdocs/cospo/template.cospo.itembridge.com/css/ios.css	(from http://template.cospo.itembridge.com/css/main.css)
09:44:18	10051/10051	---M--	200	added ('OK')	application/javascript	etag:%222743-5328e338a4dc0%22	http://template.cospo.itembridge.com/js/app.js	C:/xampp/htdocs/cospo/template.cospo.itembridge.com/js/app.js	(from http://template.cospo.itembridge.com/sport-shop.html)
09:44:19	925/925	---M--	200	added ('OK')	image/svg+xml	etag:%2239d-52ce3221bd140%22	http://template.cospo.itembridge.com/img/ico/checked-transparent.svg	C:/xampp/htdocs/cospo/template.cospo.itembridge.com/img/ico/checked-transparent.svg	(from http://template.cospo.itembridge.com/css/main.css)
09:44:19	1032/1032	---M--	200	added ('OK')	image/svg+xml	etag:%22408-52ce3221bd140%22	http://template.cospo.itembridge.com/img/ico/dark/quote.svg	C:/xampp/htdocs/cospo/template.cospo.itembridge.com/img/ico/dark/quote.svg	(from http://template.cospo.itembridge.com/css/main.css)
09:44:19	909/909	---M--	200	added ('OK')	image/svg+xml	etag:%2238d-52ce3221bd140%22	http://template.cospo.itembridge.com/img/ico/dark/checked.svg	C:/xampp/htdocs/cospo/template.cospo.itembridge.com/img/ico/dark/checked.svg	(from http://template.cospo.itembridge.com/css/main.css)
09:44:19	929/929	---M--	200	added ('OK')	image/svg+xml	etag:%223a1-52ce3221bd140%22	http://template.cospo.itembridge.com/img/ico/light/checked.svg	C:/xampp/htdocs/cospo/template.cospo.itembridge.com/img/ico/light/checked.svg	(from http://template.cospo.itembridge.com/css/main.css)
09:44:20	1032/1032	---M--	200	added ('OK')	image/svg+xml	etag:%22408-52ce3221bd140%22	http://template.cospo.itembridge.com/img/ico/light/quote.svg	C:/xampp/htdocs/cospo/template.cospo.itembridge.com/img/ico/light/quote.svg	(from http://template.cospo.itembridge.com/css/main.css)
09:44:25	29536/29536	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%227360-52e2c58189cc0%22	http://template.cospo.itembridge.com/fonts/1457133584.eot	C:/xampp/htdocs/cospo/template.cospo.itembridge.com/fonts/1457133584.eot	(from http://template.cospo.itembridge.com/css/main.css)
09:44:25	29536/29536	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%227360-52e2c58189cc0%22	http://template.cospo.itembridge.com/fonts/1457133584.eot?	C:/xampp/htdocs/cospo/template.cospo.itembridge.com/fonts/1457133584d41d.eot	(from http://template.cospo.itembridge.com/css/main.css)
09:44:29	22292/22292	---M--	200	added ('OK')	font/woff	etag:%225714-52e2c58189cc0%22	http://template.cospo.itembridge.com/fonts/1457133584.woff	C:/xampp/htdocs/cospo/template.cospo.itembridge.com/fonts/1457133584.woff	(from http://template.cospo.itembridge.com/css/main.css)
09:44:32	72466/72466	---M--	200	added ('OK')	image/svg+xml	etag:%2211b12-52e2c58189cc0%22	http://template.cospo.itembridge.com/fonts/1457133584.svg	C:/xampp/htdocs/cospo/template.cospo.itembridge.com/fonts/1457133584.svg	(from http://template.cospo.itembridge.com/css/main.css)
09:44:32	1149/1149	---M--	200	added ('OK')	image/svg+xml	etag:%2247d-52ce3221bd140%22	http://template.cospo.itembridge.com/img/ico/view.svg	C:/xampp/htdocs/cospo/template.cospo.itembridge.com/img/ico/view.svg	(from http://template.cospo.itembridge.com/css/main.css)
09:44:32	29372/29372	---M--	200	added ('OK')	font/ttf	etag:%2272bc-52e2c58189cc0%22	http://template.cospo.itembridge.com/fonts/1457133584.ttf	C:/xampp/htdocs/cospo/template.cospo.itembridge.com/fonts/1457133584.ttf	(from http://template.cospo.itembridge.com/css/main.css)
09:44:33	196/196	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2009%20Jan%202023%2014:44:20%20GMT	http://template.cospo.itembridge.com/img/svg/oval.svg	C:/xampp/htdocs/cospo/template.cospo.itembridge.com/img/svg/oval.svg	(from http://template.cospo.itembridge.com/css/main.css)
09:44:33	428/428	---M--	200	added ('OK')	image/svg+xml	etag:%221ac-52eb35219cec0%22	http://template.cospo.itembridge.com/img/svg/loading.svg	C:/xampp/htdocs/cospo/template.cospo.itembridge.com/img/svg/loading.svg	(from http://template.cospo.itembridge.com/css/main.css)
09:44:33	428/428	---M--	200	added ('OK')	image/svg+xml	etag:%221ac-52fa916bcbe40%22	http://template.cospo.itembridge.com/img/svg/loading-dark.svg	C:/xampp/htdocs/cospo/template.cospo.itembridge.com/img/svg/loading-dark.svg	(from http://template.cospo.itembridge.com/css/main.css)
09:44:33	218702/218702	---M--	200	added ('OK')	image/jpeg	etag:%223564e-52fce928c7400%22	http://template.cospo.itembridge.com/img/sport/bg/bg-5.jpg	C:/xampp/htdocs/cospo/template.cospo.itembridge.com/img/sport/bg/bg-5.jpg	(from http://template.cospo.itembridge.com/sport-shop.html)
09:44:33	1096/1096	---M--	200	added ('OK')	image/svg+xml	etag:%22448-5317762fa66c0%22	http://template.cospo.itembridge.com/img/svg/left-menu.svg	C:/xampp/htdocs/cospo/template.cospo.itembridge.com/img/svg/left-menu.svg	(from http://template.cospo.itembridge.com/css/main.css)
